first_week_topic1,first_week_topic2,first_week_topic5,first_week_topic8,first_week_topic9,first_week_topic10
작가,채식주의자,식단,금투세,노인,교촌치킨
한강,도서관,섭취,대변인,회장,모델
하니,청소년,키토,오빠,불법체류자,치킨
한국,한강,탄수화물,주장,경기,브랜드
뉴진스,도서,효과,폐지,출입국,매출
수상,유해,단백질,시행,외국인,기록
지난,전학,관리,투자자,남부,지난해
교보,학교,달걀,국민,단속,배우
아이,교체,떡국,남편,등산,업계
노벨문학상,작가,아침,결정,지난,발탁
소라,비치,피로,트럼프,기동,스타
아오이,기관,지방,논란,농장,우석
국정감사,사고,영양,페이스북,순찰,공식
코리아,내용,체중,유예,검거,등장
생각,손상,은비,자신,경찰청,사업
문고,범퍼,때문,조롱,슈커시,프랜차이즈
하이브,보험,사진,게시,가방,재해
위원회,청구,혈당,사진,영상,마케팅
쌍둥이,학부모,건강,금융투자,당국,증가
서비스,단체,도움,소득세,미등록,발생
국회,작품,보충,도입,평택,별도
사람,기준,소고기,사모펀드,인구,활동
중국,주장,있을,거리,대학생,교통
오빠,차량,자신,스타인,고용,대비
서점,거짓,제한,윌리엄스,타이산,자체
출석,경기도,유지,혜란,기자,감소
노동,심의,기능,그러면서,법무부,연예인
조세호,매체,사용,주년,오후,많았다
때문,반대,두통,교수,출신,산재
판매,자동차,균형,증시,일대,수립
